B_BUS_ID;B_LEA_OR_ENTITY_NAME;F_CITY;C_FLEET_OPERATOR_1_IF_APPLICABLE;N_CURRENT_STATUS_OF_BUS;O_BATCH;T_BUS_OEM;U_ELECTRIC_POWERTRAIN_MANUFACTURER;V_MODEL;W_TYPE;X_DEALER;Y_MULTIPLE_FUNDING_SOURCES_USED;Z_FUNDING_SOURCE_1;AA_AGENCY_ADMINISTERING_FUNDS_1;Z_FUNDING_SOURCE_2;AB_DOLLAR_AMOUNT_TOWARD_BUS;AE_DOLLAR_AMOUNT_TOWARD_CHARGER;A_DATE_OF_MOST_RECENT_SOURCE;B_SOURCE_1;B_SOURCE_2;LEA_ID_NON_TRIM;QUARTER_AWARDED;ANNEE_ORDERED;QUARTER_ORDERED;ANNEE_DELIVERED;QUARTER_DELIVERED;ANNEE_OPERATING;QUARTER_OPERATING;fundraiser_1 montant;fundraiser-2 montant;LEA_ID;ANNEE_AWARDED;date_awarded;date_ordered;date_delivered;date_operating;awarded_to_ordered;ordered_to_delivered;delivered_to_operating
46;MIAMI-DADE;MIAMI;;Ordered;1;Lion Electric;;LionC;C;;False;VW Settlement;Florida Department of Environmental Protection;;;;lundi 21 juin 2021;https://kbindependent.org/2021/06/21/50-electric-buses-coming-to-miami-thanks-to-mast-students/;Generation180 Webinar, Michele Drucker;1200390;4;2021;4;;;;;;0;1200390;2021;01/04/2021;01/04/2021;;;0;;
47;MIAMI-DADE;MIAMI;;Ordered;1;Lion Electric;;LionC;C;;False;VW Settlement;Florida Department of Environmental Protection;;;;lundi 21 juin 2021;https://kbindependent.org/2021/06/21/50-electric-buses-coming-to-miami-thanks-to-mast-students/;Generation180 Webinar, Michele Drucker;1200390;4;2021;4;;;;;;0;1200390;2021;01/04/2021;01/04/2021;;;0;;
48;MIAMI-DADE;MIAMI;;Ordered;1;Lion Electric;;LionC;C;;False;VW Settlement;Florida Department of Environmental Protection;;;;lundi 21 juin 2021;https://kbindependent.org/2021/06/21/50-electric-buses-coming-to-miami-thanks-to-mast-students/;Generation180 Webinar, Michele Drucker;1200390;4;2021;4;;;;;;0;1200390;2021;01/04/2021;01/04/2021;;;0;;
49;MIAMI-DADE;MIAMI;;Ordered;1;Lion Electric;;LionC;C;;False;VW Settlement;Florida Department of Environmental Protection;;;;lundi 21 juin 2021;https://kbindependent.org/2021/06/21/50-electric-buses-coming-to-miami-thanks-to-mast-students/;Generation180 Webinar, Michele Drucker;1200390;4;2021;4;;;;;;0;1200390;2021;01/04/2021;01/04/2021;;;0;;
50;MIAMI-DADE;MIAMI;;Ordered;1;Lion Electric;;LionC;C;;False;VW Settlement;Florida Department of Environmental Protection;;;;lundi 21 juin 2021;https://kbindependent.org/2021/06/21/50-electric-buses-coming-to-miami-thanks-to-mast-students/;Generation180 Webinar, Michele Drucker;1200390;4;2021;4;;;;;;0;1200390;2021;01/04/2021;01/04/2021;;;0;;
2;KNOX CO. R-I;EDINA;;Delivered;2;Lion Electric;;LionC;C;;False;Community Facilities Grant;U.S. Department of Agriculture;;;;mercredi 30 mars 2022;https://www.rd.usda.gov/sites/default/files/mo-cfnewsreleasechart_01262022.pdf;https://www.nemonews.net/2022/03/30/new-electric-school-bus-arrives-at-kcr-1/;2911280;1;2022;1;2022;1;;;;0;2911280;2022;01/01/2022;01/01/2022;01/01/2022;;0;0;
3;KNOX CO. R-I;EDINA;;Delivered;2;Lion Electric;;LionC;C;;False;Community Facilities Grant;U.S. Department of Agriculture;;;;jeudi 21 juillet 2022;https://www.rd.usda.gov/sites/default/files/mo-cfnewsreleasechart_01262022.pdf;https://www.nemonews.net/2022/03/30/new-electric-school-bus-arrives-at-kcr-1/;2911280;1;2022;1;;;;;;0;2911280;2022;01/01/2022;01/01/2022;;;0;;
1;PRINCETON R-V;Princeton;;Ordered;1;Lion Electric;;LionC;C;;False;VW Settlement;Missouri Department of Natural Resources;;;;mardi 10 mai 2022;https://www.kttn.com/1princeton-board-of-education-approves-insurance-renewal-reviews-return-to-learn-plan-and-receives-update-on-baseball-fields/;https://www.kttn.com/princeton-board-of-education-approves-the-purchase-of-an-electric-school-bus/;2925590;;2022;4;;;;;;0;2925590;;;01/04/2022;;;;;
1;New Hanover County Schools;Wilmington;;Ordered;1;;;;;;False;VW Settlement;North Carolina Department of Environmental Quality;;;;jeudi 3 mars 2022;https://files.nc.gov/ncdeq/Air%20Quality/motor/vw-phase-1-images/Diesel_Bus_and_Vehicle_Program_Awardeesrev1.pdf;https://pluginnc.com/volkswagen-settlement-funding-phase-1-awards/;3703330;7;2022;1;;;;;;0;3703330;2021;01/07/2021;01/01/2022;;;184;;
1;Rowan-Salisbury Schools;SALISBURY;;Ordered;1;;;;;;False;VW Settlement;North Carolina Department of Environmental Quality;;;;jeudi 3 mars 2022;https://files.nc.gov/ncdeq/Air%20Quality/motor/vw-phase-1-images/Diesel_Bus_and_Vehicle_Program_Awardeesrev1.pdf;https://pluginnc.com/volkswagen-settlement-funding-phase-1-awards/;3704050;7;2022;1;;;;;;0;3704050;2021;01/07/2021;01/01/2022;;;184;;
1;Transylvania County Schools;Brevard;;Ordered;1;;;;;;False;VW Settlement;North Carolina Department of Environmental Quality;;;;jeudi 3 mars 2022;https://files.nc.gov/ncdeq/Air%20Quality/motor/vw-phase-1-images/Diesel_Bus_and_Vehicle_Program_Awardeesrev1.pdf;https://pluginnc.com/volkswagen-settlement-funding-phase-1-awards/;3704530;7;2022;1;;;;;;0;3704530;2021;01/07/2021;01/01/2022;;;184;;
1;Philadelphia City SD;Philadelphia;;Delivered;1;Blue Bird;;Vision Electric;C;;False;Diesel Emissions Reduction Act (DERA) rebate;Environmental Protection Agency (EPA);;;;samedi 19 f?vrier 2022;https://www.schoolbusfleet.com/10145587/philadelphia-district-seeks-transition-to-gasoline-electric-school-buses;FOIA;4218990;;2021;4;2022;1;;;;0;4218990;2020;01/01/2020;01/04/2021;01/01/2022;;456;275;
2;Philadelphia City SD;Philadelphia;;Delivered;1;Blue Bird;;Vision Electric;C;;False;Diesel Emissions Reduction Act (DERA) rebate;Environmental Protection Agency (EPA);;;;samedi 19 f?vrier 2022;https://www.schoolbusfleet.com/10145587/philadelphia-district-seeks-transition-to-gasoline-electric-school-buses;FOIA;4218990;;2021;4;2022;1;;;;0;4218990;2020;01/01/2020;01/04/2021;01/01/2022;;456;275;
3;Philadelphia City SD;Philadelphia;;Delivered;1;Blue Bird;;Vision Electric;C;;False;Diesel Emissions Reduction Act (DERA);Environmental Protection Agency (EPA);;;;samedi 19 f?vrier 2022;https://www.schoolbusfleet.com/10145587/philadelphia-district-seeks-transition-to-gasoline-electric-school-buses;https://www.phillyvoice.com/new-electric-buses-philadelphia-school-district-climate-change/;4218990;;2021;4;2022;1;;;;0;4218990;;;01/04/2021;01/01/2022;;;275;
4;Philadelphia City SD;Philadelphia;;Delivered;1;Blue Bird;;Vision Electric;C;;False;Diesel Emissions Reduction Act (DERA);Environmental Protection Agency (EPA);;;;samedi 19 f?vrier 2022;https://www.schoolbusfleet.com/10145587/philadelphia-district-seeks-transition-to-gasoline-electric-school-buses;https://www.phillyvoice.com/new-electric-buses-philadelphia-school-district-climate-change/;4218990;;2021;4;2022;1;;;;0;4218990;;;01/04/2021;01/01/2022;;;275;
5;Philadelphia City SD;Philadelphia;;Delivered;1;Blue Bird;;Vision Electric;C;;False;Diesel Emissions Reduction Act (DERA);Environmental Protection Agency (EPA);;;;samedi 19 f?vrier 2022;https://www.schoolbusfleet.com/10145587/philadelphia-district-seeks-transition-to-gasoline-electric-school-buses;https://www.phillyvoice.com/new-electric-buses-philadelphia-school-district-climate-change/;4218990;;2021;4;2022;1;;;;0;4218990;;;01/04/2021;01/01/2022;;;275;
1;MONONGALIA COUNTY SCHOOLS;MORGANTOWN;;Ordered;1;GreenPower;;B.E.A.S.T.;D;;False;;;;;;mercredi 28 juin 2023;https://www.prnewswire.com/news-releases/state-of-west-virginia-purchases-15-million-of-greenpower-purpose-built-all-electric-school-buses-301796279.html;https://www.govtech.com/education/k-12/west-virginia-public-schools-anticipating-41-electric-buses;5400930;;2023;4;;;;;;0;5400930;;;01/04/2023;;;;;
1;Cartwright Elementary District (4282);PHOENIX;;Operating;1;Blue Bird;;All American RE;D;;False;Diesel Emissions Reduction Act (DERA) grant;Environmental Protection Agency (EPA);;;;vendredi 20 mai 2022;https://www.blue-bird.com/about-us/press-releases/216-cartwright-elementary-school-district-receives-first-blue-bird-electric-school-bus;https://cronkitenews.azpbs.org/2022/05/20/phoenix-school-districts-adding-electric-buses-to-fleets/;401680;;;;2021;4;;;;0;401680;;;;01/04/2021;;;;
1;Phoenix Union High School District (4286);PHOENIX;;Delivered;2;Blue Bird;;;C;;False;Diesel Emissions Reduction Act (DERA) grant;Environmental Protection Agency (EPA);;;;jeudi 18 novembre 2021;https://www.abc15.com/weather/impact-earth/puhsd-working-to-eventually-convert-full-bus-fleet-to-electric;https://www.maricopa.gov/4509/Clean-Diesel-Program;406330;;;;2021;4;;;;0;406330;2020;01/01/2020;;01/04/2021;;;;
